a,b,c,alpha,volume,phi1,PHI,phi2,GrainID,final_discrete_volume,final_conti_volume,phaseID
3.3625370578771645,10.396106159376702,10.396106159376702,81.26561737060547,3805.7224183348762,227.38629589372533,74.48455055155837,115.39705648022749,0,3714.9925231933594,3805.7224183348762,2
6.362956378059811,4.088958198392337,10.896731519560499,165.17230224609375,2968.9062586978207,292.6037069262301,226.7434891987031,329.13685374552693,1,2898.1246948242188,2968.9062586978207,1
5.772693286086431,2.720554053099815,7.080067518906061,3.9989218711853027,1164.39909610376,326.8499605175895,51.56489110616917,5.9074869077956915,2,1137.2909545898438,1164.3990961037598,1
5.33620180153101,2.465501232280152,8.33421499392521,160.26583862304688,1148.2350155631689,3.7837674050895576,66.87113351462862,200.35618818882975,3,1121.7384338378906,1148.2350155631689,1
6.284751656671436,2.4733481600666347,5.938621935493318,15.167770385742188,966.6909908879243,156.8650650051648,251.42778721957492,167.1104964105342,4,944.7898864746094,966.6909908879244,1
4.432118163294502,3.0553810159988113,6.224053327944978,7.272031784057617,882.629887499626,281.11813999936186,343.99355080289075,339.2994931049568,5,860.8474731445312,882.629887499626,1
2.9550413847443573,4.567142448556751,4.567142448556751,78.76627349853516,645.4777853364291,270.0946141002074,159.17911361346017,144.52535595347118,6,631.4735412597656,645.4777853364291,2
5.492139399224268,2.591052955205423,3.9713933235973347,6.528252601623535,591.819621915804,258.5246788952239,74.03856869592066,2.068976313630899,7,577.1942138671875,591.8196219158039,1
4.266403218744587,2.5497255796834226,4.7718154792439345,155.61351013183594,543.5851687915925,86.28117362831554,260.83786128670766,314.18494675390986,8,530.4336547851562,543.5851687915925,1
3.485123324043528,2.670230176363794,5.565414808555052,10.226363182067871,542.3666879439705,218.2931743214318,287.8243532236277,102.10795740308447,9,530.1246643066406,542.3666879439705,1
7.004846981305546,1.6290491911262852,4.208991251070648,3.2825241088867188,502.9670006973526,318.0545916743157,161.552704992525,76.85049072233024,10,490.47088623046875,502.9670006973526,1
5.2255114420526185,1.8593011597913094,4.935636991925475,7.1666717529296875,502.16954634770354,15.9087713656441,153.0230957164412,229.4932509691764,11,490.3678894042969,502.1695463477036,1
4.123912327589289,2.4310261505674453,4.769560851966767,14.086593627929688,500.7328300632246,328.6270266305853,266.9753450576394,315.71682552478734,12,489.23492431640625,500.7328300632246,1
3.686197840252308,1.7871973988458492,6.845512601450624,166.40255737304688,472.26499504994916,19.10925425764966,185.3788999655118,133.0622971930378,13,461.5287780761719,472.26499504994905,1
8.352126660857172,1.5074392894327608,3.4585098264196175,10.816679954528809,455.98917640718787,263.38190480914324,105.48432402231278,257.4374087106097,14,445.97625732421875,455.98917640718787,1
5.186556291403094,2.201606674028507,3.5237982326385224,8.717519760131836,421.3650208290138,3.327713847994609,162.23024750459766,196.6257115277821,15,411.0603332519531,421.3650208290139,1
4.352970454412389,1.8000840748081666,4.79824472121518,28.254005432128906,393.7218538533756,151.88642888624676,249.93733694286874,45.165852489611545,16,384.2811584472656,393.7218538533756,1
1.8291234519719224,4.372160109375333,4.372160109375333,82.90030670166016,366.15397316841177,291.06720357740613,53.30164589482665,334.513914966637,17,356.98699951171875,366.15397316841177,2
4.629125606765754,2.1014673046486547,3.2488147535170064,31.224023818969727,330.9597419489349,31.09178998061541,101.06739633237976,63.41460230714241,18,323.61602783203125,330.95974194893483,1
3.3605955717033926,1.7871309962242705,4.95464659445846,161.44027709960938,311.61183128675935,148.03219181541618,243.08184853557628,224.7729658374723,19,304.25262451171875,311.61183128675935,1
2.8510425825706434,2.1728197322277363,4.765287375428343,11.210921287536621,309.1328193869214,99.60457809195016,162.6249747416019,49.09887458684506,20,301.8836975097656,309.1328193869214,1
3.4558352005513195,1.4247770724855404,4.810018885884835,161.46588134765625,248.0135115073523,150.35607632967347,236.9396958923874,149.70177127134926,21,242.96951293945312,248.01351150735226,1
5.963703062081669,1.2692520318207943,3.045028867138215,173.2212677001953,241.3703448017552,134.07706457134503,141.16757769342476,54.913391035537224,22,235.34774780273438,241.37034480175518,1
4.386657312413395,1.74712991645073,2.8496794128913097,35.18639373779297,228.70914567537523,136.7200329816978,177.8711662901433,49.317847866162985,23,223.297119140625,228.70914567537523,1
4.209610005117371,1.4995040004858184,3.196523610425305,12.800439834594727,211.2983113415071,311.9359192260142,60.620001071053615,119.45328835367353,24,206.30264282226562,211.2983113415071,1
4.012882928270562,1.7757252041241403,2.7072400190278776,27.395347595214844,202.01686537442993,10.043053409026008,299.48618441090605,284.97295673257446,25,197.44491577148438,202.01686537442995,1
3.751360946228015,2.462620271978863,2.0427586256811083,30.938949584960938,197.62049102436742,151.5158515045029,199.91496212754672,62.595652708555924,26,193.01605224609375,197.62049102436745,1
4.88904127777202,1.1208665904880701,3.3165493566510085,5.492781639099121,190.32362951003697,2.5685943649058096,290.6147256502779,201.8712387288304,27,185.60028076171875,190.32362951003694,1
2.086370194328342,2.492232503504966,3.3328254078120017,65.75225067138672,181.47679761904573,32.18657374964782,142.8985264815452,250.51854347372708,28,177.66952514648438,181.47679761904573,1
3.238786813481755,1.2010458236926944,3.9892682444287377,177.20899963378906,162.50390353856764,167.85145931061913,196.55739961283737,289.5471420009148,29,158.82110595703125,162.50390353856767,1
3.87379578631025,1.9130143809208118,2.060316719803628,2.2431979179382324,159.88862294115904,60.340237279476966,93.86797649192795,78.36293347411018,30,156.1431884765625,159.88862294115904,1
2.90546304432045,1.3350413953254097,3.8480740532118465,177.38601684570312,156.3083313725825,41.23094269757488,11.772285846883705,57.86584046546981,31,152.95028686523438,156.30833137258253,1
