a,b,c,alpha,volume,phi1,PHI,phi2,GrainID,final_discrete_volume,final_conti_volume,phaseID,meshed_conti_volume
4.499313548637911,2.0941629225608827,10.242744972851106,20.93661880493164,808.5217178732374,185.63993911314142,314.19490840137473,75.07487180093034,0,798.0194091796875,808.5217178732374,1,798.0194091796875
4.732495096361157,3.2508067620297108,6.07895232851222,165.7749786376953,783.4813621289435,29.855616157226983,343.106705628583,54.490748910517425,1,778.0380249023438,783.4813621289435,1,778.0380249023438
6.473469285628311,3.017435035190069,4.753647064234491,8.602035522460938,777.894246956517,103.04701545272916,238.0144201403235,199.57064012461245,2,793.2815551757812,777.8942469565169,1,793.2815551757812
3.9356990977541746,2.863925480162865,7.331324451457272,163.28753662109375,692.2845595918753,328.3149971497141,273.1214499883878,119.64384103862658,3,682.4569702148438,692.2845595918754,1,682.4569702148438
3.676333386512876,2.9489943966396033,7.587451611192341,32.88899230957031,689.1335202172628,69.17714891705911,345.73894300588864,247.35604041612362,4,682.1479797363281,689.1335202172627,1,682.1479797363281
4.934245807749256,2.059398937015596,8.019867594753737,18.114273071289062,682.7269841851853,290.5209296529016,255.17677875338882,147.14022091955988,5,726.3336181640625,682.7269841851853,1,726.3336181640625
2.699586691012314,5.391609740947685,5.391609740947685,81.24205780029297,657.4349408581364,75.52276558657469,41.721497708549876,305.1828339090769,6,651.3519287109375,657.4349408581364,2,651.3519287109375
7.999929757851237,2.1650880005333946,4.256742912936884,11.254213333129883,617.6717708132064,229.65769919493587,340.54416546237206,282.7920290772755,7,670.9213256835938,617.6717708132063,1,670.9213256835938
5.6915390492360505,2.9717496590739874,4.171824893661846,152.47933959960938,591.1349234451739,263.3758930632401,7.198225090857986,26.686183782644388,8,579.4601440429688,591.134923445174,1,579.4601440429688
8.064830604808375,2.1488807659245155,3.846121945819011,2.1746630668640137,558.4049035979886,285.3082348197098,34.4739888180288,20.24702829635357,9,561.7446899414062,558.4049035979886,1,561.7446899414062
5.033831162411993,2.1645959948591376,6.069650158347687,25.753015518188477,554.0612282900862,308.43857876000186,25.481741494262337,321.52352791291275,10,564.5256042480469,554.0612282900862,1,564.5256042480469
6.220873950930692,2.2996757742604825,4.345462757731387,11.381196022033691,520.8020067844723,92.19631269621476,212.4484309570427,106.71558741121342,11,530.1246643066406,520.8020067844723,1,530.1246643066406
5.862764214729634,3.755846423529543,2.8231292748833643,12.32027816772461,520.7863881344051,42.78230292726497,274.08978705588214,300.26516800673863,12,538.4674072265625,520.7863881344051,1,538.4674072265625
7.181370834408256,2.091210320816486,3.8164692941682445,5.587239742279053,480.15941032838396,268.8482792376804,199.41243140116592,67.03390144324327,13,495.00274658203125,480.1594103283838,1,495.00274658203125
5.048165558498519,1.9359388177765875,5.826095214944206,20.763919830322266,477.0033185014543,226.98289382398087,88.13303874065173,355.3268955987507,14,482.1281433105469,477.00331850145426,1,482.1281433105469
4.697214883323803,1.9039050852575234,6.330761757385936,178.9632568359375,474.30783346848216,254.04284319254293,282.18927325503955,148.00511279739732,15,496.3417053222656,474.30783346848216,1,496.3417053222656
4.077929990397893,2.5261503384788484,5.116749180861696,173.82748413085938,441.58233575153116,45.54711890797102,213.79887358757915,157.4245157369073,16,445.56427001953125,441.58233575153116,1,445.56427001953125
4.490273512072294,1.8453617085435912,6.344246729322405,15.72614574432373,440.4057390417288,49.76936928102203,259.6531973063908,149.74825931410012,17,450.6111145019531,440.40573904172874,1,450.6111145019531
3.9801699767866476,1.7723887515684604,6.585944413495084,39.1683349609375,389.2219018222201,338.88530579599905,316.86334562888425,127.8124804847469,18,401.48162841796875,389.2219018222201,1,401.48162841796875
7.165020350454987,1.5176824286788513,3.7804194162780465,179.45162963867188,344.39506868347127,46.504350475311476,270.818030802231,240.52127194759976,19,345.86334228515625,344.3950686834713,1,345.86334228515625
