a,b,c,alpha,volume,phi1,PHI,phi2,GrainID,final_discrete_volume,final_conti_volume,phaseID
5.781314567685911,3.025761095829158,9.915399064919486,4.248580455780029,1453.081715387981,280.501360635987,71.46976721018449,134.24709353125792,0,1438.8656616210938,1453.0817153879811,1
6.44584051775746,3.279991403228924,8.041353067992128,16.989620208740234,1424.2951562933295,262.15228689258265,70.69328812783617,37.20588167598887,1,1394.7830200195312,1424.2951562933297,1
7.422433177635389,3.5707156638178446,5.243749202024412,179.0485382080078,1164.2924525315939,132.00936287519025,236.59874001291527,136.3716462734784,2,1146.5606689453125,1164.2924525315939,1
3.8737904022283245,4.994947953975466,7.113691767232432,62.61684036254883,1153.1365414804068,181.8007425764648,245.9894070884094,213.3632653927874,3,1151.4015197753906,1153.136541480407,1
5.175832326252424,3.138006134956431,7.551012820044411,30.241626739501953,1027.4431465828802,286.0638527266591,295.9620298925231,322.2610267681476,4,1010.5018615722656,1027.4431465828802,1
5.807379892910335,2.8380588495376604,7.0774196531949585,15.751672744750977,977.2263885248399,41.66831760990209,316.71395864392025,132.125416574988,5,964.4622802734375,977.2263885248399,1
4.468486365418486,3.507069052864158,7.124628960480493,2.616342544555664,935.3746829827772,205.47796331919366,4.279711969474711,272.3185659798823,6,933.2542419433594,935.374682982777,1
7.594476207945949,2.5435800179553043,5.041744481156199,12.014445304870605,815.9107721484672,320.0520487226211,12.355611831438438,151.89301376897762,7,801.5213012695312,815.910772148467,1
4.61493185436107,3.1408238136063105,5.953515897385693,3.501481533050537,722.9378948883192,152.64139511506258,184.58640167800425,98.24501163431725,8,726.3336181640625,722.9378948883192,1
7.163686636611848,2.489767086566401,4.706818733201429,13.333294868469238,703.3012347061298,103.1756553461648,42.15577215173174,306.3981944688817,9,709.3391418457031,703.3012347061299,1
8.642033495483282,2.5001249414072197,3.6740556087909173,19.989397048950195,665.0311501484033,132.49342999528957,139.80861663675094,144.35710595588304,10,658.9736938476562,665.0311501484033,1
5.917608844170864,2.805056622772117,4.402585384586462,23.250225067138672,612.2295388144909,304.15148009335786,33.451718932447136,82.17691338307635,11,601.0894775390625,612.2295388144909,1
7.498866637597111,1.8844354745624172,4.703159773776641,9.218960762023926,556.7820669601545,100.44650502551337,195.73657726451077,300.17884575911626,12,555.6678771972656,556.7820669601545,1
5.815475657047282,2.5369368059551256,4.4182768439851685,178.5316162109375,546.0927629849995,82.23039890773681,309.6960279398951,346.5495767725167,13,541.6603088378906,546.0927629849995,1
1.98783425166655,5.61441110434182,5.61441110434182,133.82901000976562,524.9370111128047,270.59950407038656,38.288232774543914,6.208381572033712,14,514.2631530761719,524.9370111128048,2
2.4905092582027226,4.949583516945362,4.949583516945362,79.01773071289062,511.1449553268614,67.6180724860164,20.514341661045275,185.93323418877628,15,503.24249267578125,511.1449553268614,2
4.031030495664106,2.62799797307841,5.663608843264741,2.174968719482422,502.635276889749,29.907377871844577,171.99355257275585,260.44825767343565,16,497.2686767578125,502.635276889749,1
1.843819459987747,5.566864054447531,5.566864054447531,81.3502197265625,478.69427195325324,106.04560640556903,37.18434491909416,69.95399353088652,17,482.025146484375,478.6942719532533,2
3.65790398935292,2.337900452025312,5.961992619003203,172.3532257080078,427.1381438723957,194.85770458694364,331.26538875605706,107.49594958063108,18,417.96112060546875,427.1381438723957,1
5.91337835230406,2.0272936744408128,4.208914519241083,13.936272621154785,422.70856037036634,22.227412458539092,83.01393687648003,348.1164594266184,19,417.4461364746094,422.7085603703664,1
5.845350241588164,1.8848245375109836,4.012664127186254,4.130955696105957,370.367508233345,244.58152304018654,316.38514375949364,213.25525865916887,20,365.020751953125,370.36750823334495,1
3.6828021257316452,2.710201524201456,4.280069771395557,5.4957475662231445,357.8898848923209,24.17663541911815,301.1465390986373,112.66101886023999,21,351.1161804199219,357.88988489232094,1
1.591212014381223,4.870332756799663,4.870332756799663,86.12943267822266,316.2014982923869,170.20953405394954,34.249886817376186,335.5469352212993,22,312.49237060546875,316.20149829238693,2
2.327839314452661,3.9994910396147185,3.9994910396147185,100.54451751708984,311.9471770666727,279.793107241906,126.97612009392758,305.8163711865191,23,311.9773864746094,311.9471770666727,2
3.2586088366257164,1.5887979696171861,6.395686460411435,152.96139526367188,277.40014064009097,55.65760669081658,132.89918027816702,30.47783063799221,24,276.23748779296875,277.40014064009097,1
1.6146182381692396,4.5155205940138385,4.5155205940138385,85.6104965209961,275.80625633799605,339.7338298594963,176.97671868550577,84.76270459188494,25,275.20751953125,275.8062563379961,2
4.1799761303637215,2.100036334913801,3.6799766147147586,159.83599853515625,270.6227323258788,207.4451892932056,43.083926803972396,262.21584520919106,26,266.143798828125,270.6227323258788,1
4.6210671651190545,2.0925597409946115,3.334034303459329,156.30673217773438,270.09019308752386,323.7715606417545,15.900152537102796,266.01448382081355,27,267.4827575683594,270.0901930875238,1
2.0091814317078014,3.4076816358688324,4.3583683282838885,64.5724868774414,249.98888794657606,23.76750629618844,308.047485487145,349.59327272823145,28,245.75042724609375,249.9888879465761,1
4.87990907955022,1.9411533209919045,3.040190494729496,8.135467529296875,241.2631376453211,41.16208840647114,29.281866187110417,282.68799477846756,29,238.128662109375,241.26313764532114,1
6.2900927153782895,1.18573301264394,3.8031351253317114,179.7259979248047,237.63166969515004,62.24441877867176,91.19861150065285,246.4264140287759,30,235.14175415039062,237.63166969515004,1
1.882331582606114,3.7231473479525223,3.7231473479525223,74.66690826416016,218.59246253227798,273.0692877722291,54.51092947879506,294.4241583343118,31,213.8214111328125,218.59246253227803,2
